title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
1 room apartment,Montenegro,"Sveti Stefan, Budva Municipality, Montenegro",2023,9,6,2,1,1,44.0,75.0,214349.0,https://realting.com/uploads/bigSlider/6cb/0c99e5012b767.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1297116
2 room apartment,Montenegro,"Sveti Stefan, Budva Municipality, Montenegro",2023,,4,3,2,1,85.0,75.0,271732.0,https://realting.com/uploads/bigSlider/fed/ecd8e26ada6ad89768084d2860944.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1363698
2 room apartment,Uzbekistan,"Yashnabad District, Uzbekistan",2023,16,4,3,2,1,79.0,75.0,93589.0,https://realting.com/uploads/bigSlider/777/ca9de5fd7cf6e84df2ba0b586f90f.webp,https://realting.com/uzbekistan/property/1760037
2 room apartment,Uzbekistan,"Shaykhontohur Tumani, Uzbekistan",2023,10,4,2,2,1,58.0,75.0,120000.0,https://realting.com/uploads/bigSlider/77b/f45d3fbac9a5f841ca06ca6f58e25.webp,https://realting.com/uzbekistan/property/1765320
2 room apartment,Uzbekistan,"Yashnabad District, Uzbekistan",2023,8,3,3,2,2,92.0,75.0,110000.0,https://realting.com/uploads/bigSlider/b9f/2f83efe28efc8ae9845ec4243e4f3.webp,https://realting.com/uzbekistan/property/1764568
3 room apartment,Turkey,"Sekerhane Mahallesi, Alanya, Turkey",2023,11,11,3,2,1,90.0,75.0,302685.0,https://realting.com/uploads/bigSlider/994/accd6213b3327.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1540067
3 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2023,12,12,4,3,2,105.0,75.0,290210.0,https://realting.com/uploads/bigSlider/4cc/332b4b2e5e463.webp,https://realting.com/property-for-sale/turkey/rieltor-bez-granic/1548462
2 room apartment,Turkey,"Sekerhane Mahallesi, Alanya, Turkey",2023,3,3,2,2,1,50.0,75.0,339135.0,https://realting.com/uploads/bigSlider/723/02d5acbe67423.webp,https://realting.com/property-for-sale/turkey/zera-homes/1488511
3 room apartment,Turkey,"Central Anatolia Region, Turkey",2023,6,2,4,3,2,150.0,75.0,251080.0,https://realting.com/uploads/bigSlider/8b7/95f4c281ebe8a7ba90a03592d9a41.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1750527
3 room apartment,Turkey,"Sekerhane Mahallesi, Alanya, Turkey",2023,2,2,3,2,1,85.0,75.0,180447.0,https://realting.com/uploads/bigSlider/7a4/c0bd9be0342e3.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1538567
4 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2023,,4,4,2,1,110.0,75.0,210864.0,https://realting.com/uploads/bigSlider/352/82d3644545db6ad033022fd694e1d.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1707119
2 room apartment,Montenegro,"Bar Municipality, Montenegro",2023,,4,3,2,2,82.0,75.0,244559.0,https://realting.com/uploads/bigSlider/41c/a838a2d2d67ab972522d1383e3991.webp,https://realting.com/property-for-sale/montenegro/dream-estates-montenegro/1664428
3 room apartment,Montenegro,Montenegro,2023,,4,3,3,1,96.0,75.0,325970.0,https://realting.com/uploads/bigSlider/b4e/ce66cc2c21c35.webp,https://realting.com/property-for-sale/montenegro/tradegoria/1151494
2 room apartment,Montenegro,Montenegro,2023,,4,3,2,1,71.0,75.0,293471.0,https://realting.com/uploads/bigSlider/09f/e7692a5aa119c41676651392fcf5c.webp,https://realting.com/property-for-sale/montenegro/tradegoria/705685
3 room apartment,Montenegro,"Kotor Municipality, Montenegro",2023,,4,3,3,3,126.0,75.0,288036.0,https://realting.com/uploads/bigSlider/a18/da7a8b941057f.webp,https://realting.com/property-for-sale/montenegro/montbel-d-o-o/407938
2 room apartment,Uzbekistan,"Yashnabad District, Uzbekistan",2023,16,3,2,2,1,57.0,75.0,83864.0,https://realting.com/uploads/bigSlider/777/ca9de5fd7cf6e84df2ba0b586f90f.webp,https://realting.com/uzbekistan/property/1760160
1 room apartment,Uzbekistan,"Shaykhontohur Tumani, Uzbekistan",2023,16,14,1,2,1,69.0,75.0,91509.0,https://realting.com/uploads/bigSlider/743/4b4fc6bc9e06882c4d18c8544f68c.webp,https://realting.com/uzbekistan/property/1760496
1 room apartment,Uzbekistan,"Shaykhontohur Tumani, Uzbekistan",2023,25,8,2,1,1,52.0,75.0,125000.0,https://realting.com/uploads/bigSlider/2a2/dd8915af78bf474d0686581d75411.webp,https://realting.com/uzbekistan/property/1764714
multilevel apartments 4 rooms,Uzbekistan,"Yashnabad District, Uzbekistan",2023,8,1,4,2,1,96.0,75.0,115000.0,https://realting.com/uploads/bigSlider/8a4/481b41eb008fa222d21906b36e08c.webp,https://realting.com/uzbekistan/property/1767020
2 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2021,,2,2,2,1,43.0,75.0,298905.0,https://realting.com/uploads/bigSlider/83d/3438cdcc93437.webp,https://realting.com/property-for-sale/turkey/liga-real-estate/1627413
2 room apartment,Turkey,"Antalya, Turkey",2014,5,4,3,2,1,100.0,75.0,249993.0,https://realting.com/uploads/bigSlider/61d/0d8eed4322a149799f19558a0bb92.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1732159
4 room apartment,Turkey,"Istanbul, Turkey",2023,,4,1,4,4,190.0,75.0,300000.0,https://realting.com/uploads/bigSlider/381/f6100c7c2fdc7.webp,https://realting.com/property-for-sale/turkey/trem-global/1272841
1 room apartment,Turkey,"Istanbul, Turkey",2025,14,4,2,1,1,70.0,75.0,241298.0,https://realting.com/uploads/bigSlider/e10/1c882590db7f60b750b8fb2b7e3f9.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1751459
