title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
"3 room apartment 189 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,3.0,,189 m²,,1556481.0,https://realting.com/uploads/bigSlider/2a4/a16b58936857f.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634266
"3 room apartment 235 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,3.0,,235 m²,,2480370.0,https://realting.com/uploads/bigSlider/64f/4fa0881b7280bc56988be5289c2e3.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634231
"3 room apartment 237 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,1.0,3.0,3.0,237 m²,,1847000.0,https://realting.com/uploads/bigSlider/a14/1b44e7b0d52bb.webp,https://realting.com/property-for-sale/turkey/trem-global/1272548
"3 room apartment 166 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,1.0,3.0,2.0,166 m²,,2760000.0,https://realting.com/uploads/bigSlider/c18/7048bf52833f7.webp,https://realting.com/property-for-sale/turkey/trem-global/1272596
"3 room apartment 360 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,3.0,,360 m²,,2348852.0,https://realting.com/uploads/bigSlider/5df/3856d8dd2336d0d82e8353fa2c5f1.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634269
"5 room apartment 461 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,5.0,,461 m²,,2623845.0,https://realting.com/uploads/bigSlider/2c2/c74e1c2a5c210adcd48e1bdb9c0a1.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634679
"2 room apartment 164 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,3.0,2.0,,164 m²,,2547363.0,https://realting.com/uploads/bigSlider/5c7/9ebcd18d9e936496d774f5eb51d0b.webp,https://realting.com/property-for-sale/turkey/mercury-group/1575226
"5 room apartment 301 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,1.0,5.0,4.0,301 m²,,1595000.0,https://realting.com/uploads/bigSlider/f28/eae3939c2420f.webp,https://realting.com/property-for-sale/turkey/trem-global/1273400
"2 room apartment 148 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",,48.0,,3.0,2.0,,148 m²,,1489708.0,https://realting.com/uploads/bigSlider/a23/f872450ad5f00b9bcb58c4028c7f2.webp,https://realting.com/property-for-sale/turkey/tranio/1505892
"5 room apartment 260 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,4.0,4.0,5.0,,,260 m²,,1591211.0,https://realting.com/uploads/bigSlider/d45/34bb4a429971b.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1542128
